row	lambda
1	1.035676502
2	1.083423156
3	1.221163401
4	1.086203496
5	0.981252159
6	0.885996654
7	0.953445066
8	1.065886908
9	0.66339379
10	0.82452919
11	1.041979977
12	1.089750661
13	0.853397598
14	0.923313022
15	0.756184173
16	1.122040189
17	1.140137827
18	1.128556999
19	1.200337009
20	0.816520963
21	0.797129919
22	1.011140464
23	0.985482674
24	0.777389171
25	0.873814865
26	0.845817632
27	1.015243412
28	0.954916308
29	1.005571674
30	1.018218658
31	0.903302972
32	1.007064671
33	0.9992896
34	1.246004264
35	1.009359616
36	0.906084621
37	1.019128359
38	0.586401466
39	1.162050082
40	0.947666084
41	1.100495527
42	0.953911598
43	1.085781179
44	1.009251612
45	0.82750327
46	0.81776711
47	0.808898181
48	0.761841254
49	1.053756172
50	0.979579168
51	0.842712757
52	1.204783965
53	0.802885074
54	0.980273031
55	0.968682156
56	1.001085286
57	1.139980269
58	0.891928255
59	0.94488082
60	0.916712072
61	0.913020727
62	0.839228372
63	0.930258902
64	1.128180161
65	0.926746525
66	0.963489059
67	1.064837705
68	0.864685005
69	0.860170686
70	0.883915328
71	1.029841761
72	1.106036215
73	0.942816264
74	0.774419046
75	0.944546666
76	0.968190616
77	0.988718834
78	0.981623206
79	1.031301259
80	0.963836919
81	1.081893775
82	1.021104372
83	1.056127899
84	0.89991015
85	0.911099493
86	0.783995174
87	1.115933362
88	1.03313507
