row	lambda
1	0.776664222
2	1.198521438
3	1.06287447
4	1.204290997
5	1.20846121
6	1.118405494
7	0.994583498
8	1.111738342
9	1.257065577
10	1.05357573
11	0.952668177
12	0.813241298
13	0.690598732
14	0.548409692
15	0.706920797
16	1.064613534
17	0.747840511
18	0.876690436
19	0.781475591
20	1.341178395
21	0.500088398
22	1.137409224
23	1.135536839
24	1.419090943
25	0.642010053
26	1.048409236
27	1.166268102
28	0.588286187
29	0.87770054
30	1.27237538
31	1.217728772
32	0.993571405
33	1.288011473
34	0.949993866
35	1.37203851
36	1.271509483
37	1.073717752
38	1.042142846
39	1.160961571
40	1.37259909
41	1.08298239
42	1.132704119
43	1.193684625
44	0.54492666
45	0.844677561
46	0.975152249
47	1.057958529
48	0.910594044
49	0.952524392
50	0.548263958
51	0.635273502
52	1.1886261
53	0.922633595
54	0.614983897
55	0.739781435
56	0.871860176
57	1.231212703
58	1.315252986
59	1.149726597
60	1.260242676
61	0.547538641
62	1.361566212
63	1.052776143
64	0.899549789
65	0.834504244
66	0.517236116
67	0.79701909
68	1.080994272
69	0.569088069
70	1.165604927
71	0.994837375
72	0.58867572
73	1.431383499
74	0.688553675
75	1.141965866
76	1.212845047
77	1.040693143
78	0.538454483
79	0.900531597
80	1.085816463
81	0.529811237
82	1.114467955
83	0.77190781
84	1.081830756
85	0.433801082
86	0.56104908
87	0.751294154
88	0.807791446
